bin_left,bin_right,bin_center,baseline_count,local_count,ALSM_count
0.0,300.20785714285716,150.10392857142858,0,0,0
300.20785714285716,600.4157142857143,450.31178571428575,57,57,64
600.4157142857143,900.6235714285715,750.5196428571429,25,25,47
900.6235714285715,1200.8314285714287,1050.7275,2,2,15
1200.8314285714287,1501.0392857142858,1350.9353571428574,25,39,22
1501.0392857142858,1801.247142857143,1651.1432142857143,4,4,20
1801.247142857143,2101.455,1951.3510714285715,29,38,3
2101.455,2401.6628571428573,2251.5589285714286,0,0,6
2401.6628571428573,2701.8707142857147,2551.766785714286,4,4,6
2701.8707142857147,3002.0785714285716,2851.9746428571434,4,4,4
3002.0785714285716,3302.2864285714286,3152.1825,23,9,12
3302.2864285714286,3602.494285714286,3452.3903571428573,5,5,10
3602.494285714286,3902.7021428571434,3752.5982142857147,14,4,7
3902.7021428571434,4202.91,4052.8060714285716,3,4,4
4202.91,4503.117857142857,4353.013928571429,5,3,3
4503.117857142857,4803.325714285715,4653.221785714286,5,5,10
4803.325714285715,5103.533571428572,4953.429642857143,0,2,4
5103.533571428572,5403.741428571429,5253.637500000001,4,4,4
5403.741428571429,5703.949285714286,5553.845357142858,3,3,3
5703.949285714286,6004.157142857143,5854.053214285715,4,4,7
6004.157142857143,6304.365000000001,6154.261071428572,1,1,3
6304.365000000001,6604.572857142857,6454.4689285714285,1,1,0
6604.572857142857,6904.780714285715,6754.676785714286,0,0,3
6904.780714285715,7204.988571428572,7054.884642857143,0,0,1
7204.988571428572,7505.196428571429,7355.092500000001,15,15,0
7505.196428571429,7805.404285714287,7655.300357142858,0,0,1
7805.404285714287,8105.612142857143,7955.508214285715,4,4,0
8105.612142857143,8405.82,8255.716071428571,4,4,0
8405.82,8706.027857142857,8555.923928571428,0,0,1
8706.027857142857,9006.235714285714,8856.131785714286,1,1,2
9006.235714285714,9306.443571428572,9156.339642857143,2,2,0
9306.443571428572,9606.65142857143,9456.5475,0,0,0
9606.65142857143,9906.859285714287,9756.755357142858,0,0,2
9906.859285714287,10207.067142857144,10056.963214285715,3,3,0
10207.067142857144,10507.275000000001,10357.171071428573,2,2,2
10507.275000000001,10807.482857142859,10657.37892857143,4,4,0
10807.482857142859,11107.690714285714,10957.586785714288,0,0,1
11107.690714285714,11407.898571428572,11257.794642857143,4,4,1
11407.898571428572,11708.10642857143,11558.0025,0,0,0
11708.10642857143,12008.314285714287,11858.210357142858,2,2,1
12008.314285714287,12308.522142857144,12158.418214285715,4,4,0
12308.522142857144,12608.730000000001,12458.626071428573,0,0,0
12608.730000000001,12908.937857142859,12758.83392857143,1,1,0
12908.937857142859,13209.145714285714,13059.041785714286,1,1,0
13209.145714285714,13509.353571428572,13359.249642857143,0,0,0
13509.353571428572,13809.56142857143,13659.4575,1,1,0
13809.56142857143,14109.769285714287,13959.665357142858,3,3,0
14109.769285714287,14409.977142857144,14259.873214285715,0,0,0
14409.977142857144,14710.185000000001,14560.081071428573,0,0,0
