method,waiting_time_seconds,households
baseline,406.7,2
baseline,765.5,3
baseline,1102.1,2
baseline,1444.1,4
baseline,1766.5,4
baseline,2099.8,3
baseline,2440.5,3
baseline,2802.8,4
baseline,3130.9,4
baseline,3537.5,2
baseline,3897.3,4
baseline,4298.6,3
baseline,4693.400000000001,3
baseline,5225.700000000001,3
baseline,5598.700000000001,3
baseline,6032.1,1
baseline,6600.200000000001,1
baseline,7482.400000000001,15
baseline,7943.500000000001,4
baseline,8280.1,4
baseline,8771.4,1
baseline,9239.3,2
baseline,9956.5,3
baseline,10306.3,2
baseline,10679.5,4
baseline,11109.1,4
baseline,11730.9,2
baseline,12252.6,4
baseline,12659.4,1
baseline,13043.6,1
baseline,13527.7,1
baseline,14009.7,3
baseline,340.2,15
baseline,755.7,22
baseline,1262.8,20
baseline,1862.4,25
baseline,2600.1,1
baseline,3102.9,4
baseline,3490.3,3
baseline,4201.3,3
baseline,4585.3,2
baseline,5115.900000000001,1
baseline,5896.500000000001,4
baseline,329.3,39
baseline,448.3,1
baseline,1295.8,1
baseline,2045.1999999999998,1
baseline,3287.0,15
baseline,3868.5,10
baseline,4350.2,2
local,406.7,2
local,765.5,3
local,1102.1,2
local,1444.1,4
local,1766.5,4
local,2099.8,3
local,2440.5,3
local,2802.8,4
local,3130.9,4
local,3537.5,2
local,3897.3,4
local,4298.6,3
local,4693.400000000001,3
local,5225.700000000001,3
local,5598.700000000001,3
local,6032.1,1
local,6600.200000000001,1
local,7482.400000000001,15
local,7943.500000000001,4
local,8280.1,4
local,8771.4,1
local,9239.3,2
local,9956.5,3
local,10306.3,2
local,10679.5,4
local,11109.1,4
local,11730.9,2
local,12252.6,4
local,12659.4,1
local,13043.6,1
local,13527.7,1
local,14009.7,3
local,340.2,15
local,755.7,22
local,1262.8,20
local,1862.4,25
local,2600.1,1
local,3102.9,4
local,3490.3,3
local,4201.3,3
local,4585.3,2
local,5115.900000000001,1
local,5896.500000000001,4
local,329.3,39
local,448.3,1
local,1306.8,15
local,1888.3,10
local,3242.7000000000003,1
local,3998.2000000000003,1
local,4980.700000000001,2
ALSM (MAD),713.8,25
ALSM (MAD),1478.1999999999998,2
ALSM (MAD),1836.9999999999998,3
ALSM (MAD),2173.6,2
ALSM (MAD),2515.6,4
ALSM (MAD),2838.0,4
ALSM (MAD),3171.3,3
ALSM (MAD),3512.0,3
ALSM (MAD),3874.3,4
ALSM (MAD),4202.400000000001,4
ALSM (MAD),4609.000000000001,2
ALSM (MAD),4968.800000000001,4
ALSM (MAD),5370.100000000001,3
ALSM (MAD),5764.9000000000015,3
ALSM (MAD),6297.200000000002,3
ALSM (MAD),6670.200000000002,3
ALSM (MAD),7103.600000000001,1
ALSM (MAD),7671.700000000002,1
ALSM (MAD),8511.900000000001,1
ALSM (MAD),8979.800000000001,2
ALSM (MAD),9721.300000000001,2
ALSM (MAD),10396.1,2
ALSM (MAD),10986.9,1
ALSM (MAD),11371.1,1
ALSM (MAD),11855.2,1
ALSM (MAD),340.2,15
ALSM (MAD),755.7,22
ALSM (MAD),1262.8,20
ALSM (MAD),1794.5,4
ALSM (MAD),2611.4,1
ALSM (MAD),3114.2000000000003,4
ALSM (MAD),3501.6000000000004,3
ALSM (MAD),4212.6,3
ALSM (MAD),4596.6,2
ALSM (MAD),5127.200000000001,1
ALSM (MAD),5907.800000000001,4
ALSM (MAD),329.3,39
ALSM (MAD),1648.1,15
ALSM (MAD),2119.2999999999997,4
ALSM (MAD),3005.2,4
ALSM (MAD),3438.2,4
ALSM (MAD),3838.5,3
ALSM (MAD),4614.0,4
ALSM (MAD),5549.3,3
ALSM (MAD),514.0,10
ALSM (MAD),1063.3,15
ALSM (MAD),1658.8,1
ALSM (MAD),2506.3,1
ALSM (MAD),3255.7000000000003,1
ALSM (MAD),4580.200000000001,2
