bin_left,bin_right,bin_center,baseline,local,ALSM (MAD)
448.3,2844.2081632653067,1646.2540816326534,7,5,3
2844.2081632653067,5240.116326530613,4042.1622448979597,2,4,6
5240.116326530613,7636.024489795919,6438.070408163267,7,7,3
7636.024489795919,10031.932653061225,8833.978571428572,3,3,7
10031.932653061225,12427.840816326532,11229.886734693879,3,3,9
12427.840816326532,14823.748979591837,13625.794897959186,8,8,4
14823.748979591837,17219.657142857144,16021.70306122449,4,4,6
17219.657142857144,19615.56530612245,18417.611224489796,1,3,6
19615.56530612245,22011.473469387758,20813.519387755106,1,1,3
22011.473469387758,24407.381632653065,23209.42755102041,2,2,1
24407.381632653065,26803.289795918372,25605.33571428572,1,1,2
26803.289795918372,29199.197959183675,28001.243877551024,0,0,0
29199.197959183675,31595.106122448982,30397.152040816327,1,1,0
31595.106122448982,33991.01428571429,32793.06020408164,2,2,0
33991.01428571429,36386.9224489796,35188.96836734695,0,0,0
36386.9224489796,38782.83061224491,37584.87653061225,1,0,0
38782.83061224491,41178.73877551021,39980.78469387756,0,0,0
41178.73877551021,43574.64693877552,42376.692857142865,2,2,0
43574.64693877552,45970.555102040824,44772.60102040817,1,1,0
45970.555102040824,48366.463265306134,47168.50918367348,1,1,0
48366.463265306134,50762.37142857144,49564.41734693879,2,1,0
50762.37142857144,53158.27959183675,51960.32551020409,0,0,0
53158.27959183675,55554.18775510205,54356.233673469396,0,0,0
55554.18775510205,57950.095918367355,56752.14183673471,0,0,0
57950.095918367355,60346.004081632665,59148.05000000001,0,0,0
60346.004081632665,62741.91224489797,61543.95816326531,0,0,0
62741.91224489797,65137.82040816328,63939.866326530624,0,0,0
65137.82040816328,67533.72857142858,66335.77448979593,0,0,0
67533.72857142858,69929.6367346939,68731.68265306123,0,0,0
69929.6367346939,72325.5448979592,71127.59081632656,0,0,0
72325.5448979592,74721.4530612245,73523.49897959185,0,0,0
74721.4530612245,77117.36122448981,75919.40714285715,0,0,0
77117.36122448981,79513.26938775512,78315.31530612247,0,0,0
79513.26938775512,81909.17755102042,80711.22346938777,0,0,0
81909.17755102042,84305.08571428573,83107.13163265307,0,0,0
84305.08571428573,86700.99387755104,85503.03979591839,0,0,0
86700.99387755104,89096.90204081635,87898.94795918369,0,0,0
89096.90204081635,91492.81020408164,90294.856122449,0,0,0
91492.81020408164,93888.71836734696,92690.76428571431,0,0,0
93888.71836734696,96284.62653061227,95086.6724489796,0,0,0
96284.62653061227,98680.53469387756,97482.58061224491,0,0,0
98680.53469387756,101076.44285714287,99878.48877551022,0,0,0
101076.44285714287,103472.35102040818,102274.39693877552,0,0,0
103472.35102040818,105868.2591836735,104670.30510204085,0,0,0
105868.2591836735,108264.16734693879,107066.21326530614,0,0,0
108264.16734693879,110660.0755102041,109462.12142857144,0,0,0
110660.0755102041,113055.98367346941,111858.02959183676,1,1,0
113055.98367346941,115451.8918367347,114253.93775510206,0,0,0
115451.8918367347,117847.80000000002,116649.84591836735,0,0,0
