method,weighted_waiting_time
baseline,813.4
baseline,2296.5
baseline,2204.2
baseline,5776.4
baseline,7066.0
baseline,6299.400000000001
baseline,7321.5
baseline,11211.2
baseline,12523.6
baseline,7075.0
baseline,15589.2
baseline,12895.800000000001
baseline,14080.2
baseline,15677.100000000002
baseline,16796.100000000002
baseline,6032.1
baseline,6600.200000000001
baseline,112236.00000000001
baseline,31774.000000000004
baseline,33120.4
baseline,8771.4
baseline,18478.6
baseline,29869.5
baseline,20612.6
baseline,42718.0
baseline,44436.4
baseline,23461.8
baseline,49010.4
baseline,12659.4
baseline,13043.6
baseline,13527.7
baseline,42029.100000000006
baseline,5103.0
baseline,16625.4
baseline,25256.0
baseline,46560.0
baseline,2600.1
baseline,12411.6
baseline,10470.900000000001
baseline,12603.900000000001
baseline,9170.6
baseline,5115.900000000001
baseline,23586.000000000004
baseline,12842.7
baseline,448.3
baseline,1295.8
baseline,2045.1999999999998
baseline,49305.0
baseline,38685.0
baseline,8700.4
local,813.4
local,2296.5
local,2204.2
local,5776.4
local,7066.0
local,6299.400000000001
local,7321.5
local,11211.2
local,12523.6
local,7075.0
local,15589.2
local,12895.800000000001
local,14080.2
local,15677.100000000002
local,16796.100000000002
local,6032.1
local,6600.200000000001
local,112236.00000000001
local,31774.000000000004
local,33120.4
local,8771.4
local,18478.6
local,29869.5
local,20612.6
local,42718.0
local,44436.4
local,23461.8
local,49010.4
local,12659.4
local,13043.6
local,13527.7
local,42029.100000000006
local,5103.0
local,16625.4
local,25256.0
local,46560.0
local,2600.1
local,12411.6
local,10470.900000000001
local,12603.900000000001
local,9170.6
local,5115.900000000001
local,23586.000000000004
local,12842.7
local,448.3
local,19602.0
local,18883.0
local,3242.7000000000003
local,3998.2000000000003
local,9961.400000000001
ALSM (MAD),17845.0
ALSM (MAD),2956.3999999999996
ALSM (MAD),5510.999999999999
ALSM (MAD),4347.2
ALSM (MAD),10062.4
ALSM (MAD),11352.0
ALSM (MAD),9513.900000000001
ALSM (MAD),10536.0
ALSM (MAD),15497.2
ALSM (MAD),16809.600000000002
ALSM (MAD),9218.000000000002
ALSM (MAD),19875.200000000004
ALSM (MAD),16110.300000000003
ALSM (MAD),17294.700000000004
ALSM (MAD),18891.600000000006
ALSM (MAD),20010.600000000006
ALSM (MAD),7103.600000000001
ALSM (MAD),7671.700000000002
ALSM (MAD),8511.900000000001
ALSM (MAD),17959.600000000002
ALSM (MAD),19442.600000000002
ALSM (MAD),20792.2
ALSM (MAD),10986.9
ALSM (MAD),11371.1
ALSM (MAD),11855.2
ALSM (MAD),5103.0
ALSM (MAD),16625.4
ALSM (MAD),25256.0
ALSM (MAD),7178.0
ALSM (MAD),2611.4
ALSM (MAD),12456.800000000001
ALSM (MAD),10504.800000000001
ALSM (MAD),12637.800000000001
ALSM (MAD),9193.2
ALSM (MAD),5127.200000000001
ALSM (MAD),23631.200000000004
ALSM (MAD),12842.7
ALSM (MAD),24721.5
ALSM (MAD),8477.199999999999
ALSM (MAD),12020.8
ALSM (MAD),13752.8
ALSM (MAD),11515.5
ALSM (MAD),18456.0
ALSM (MAD),16647.9
ALSM (MAD),5140.0
ALSM (MAD),15949.5
ALSM (MAD),1658.8
ALSM (MAD),2506.3
ALSM (MAD),3255.7000000000003
ALSM (MAD),9160.400000000001
